,damage taken,direction,encounter,month of departure
11611,37%,southbound,merpeople,5/1401
11612,19%,northbound,sharks,5/1401
11613,8%,northbound,harpy,5/1401
11614,64%,northbound,merpeople,5/1401
11615,94%,southbound,demon whale,5/1401
11616,29%,southbound,sharks,5/1401
11617,50%,northbound,kraken,5/1401
11618,27%,northbound,sharks,5/1401
11619,84%,northbound,water elemental,5/1401
11620,100%+,northbound,unknown,5/1401
11621,81%,southbound,water elemental,5/1401
11622,21%,northbound,pirates,5/1401
11623,68%,southbound,kraken,5/1401
11624,77%,northbound,water elemental,5/1401
11625,17%,southbound,pirates,5/1401
11626,100%+,southbound,unknown,5/1401
11627,100%+,northbound,unknown,5/1401
11628,84%,southbound,water elemental,5/1401
11629,24%,northbound,sharks,5/1401
11630,99%,southbound,demon whale,5/1401
11631,100%+,northbound,unknown,5/1401
11632,18%,northbound,pirates,5/1401
11633,22%,northbound,harpy,5/1401
11634,75%,southbound,water elemental,5/1401
11635,76%,southbound,water elemental,5/1401
11636,83%,northbound,water elemental,5/1401
11637,55%,northbound,kraken,5/1401
11638,83%,northbound,crabmonsters,5/1401
11639,49%,southbound,kraken,5/1401
11640,14%,northbound,harpy,5/1401
11641,18%,northbound,pirates,5/1401
11642,78%,southbound,water elemental,5/1401
11643,92%,southbound,merpeople,5/1401
11644,56%,southbound,kraken,5/1401
11645,28%,northbound,pirates,5/1401
11646,15%,southbound,harpy,5/1401
11647,12%,northbound,harpy,5/1401
11648,19%,northbound,harpy,5/1401
11649,53%,southbound,pirates,5/1401
11650,24%,southbound,pirates,5/1401
11651,11%,northbound,harpy,5/1401
11652,84%,southbound,nessie,5/1401
11653,59%,southbound,kraken,5/1401
11654,19%,southbound,sharks,5/1401
11655,59%,northbound,kraken,5/1401
11656,58%,northbound,pirates,5/1401
11657,15%,northbound,harpy,5/1401
11658,13%,southbound,pirates,5/1401
11659,81%,northbound,demon whale,5/1401
11660,82%,northbound,water elemental,5/1401
11661,15%,northbound,pirates,5/1401
11662,94%,northbound,demon whale,5/1401
11663,7%,northbound,harpy,5/1401
11664,38%,southbound,pirates,5/1401
11665,51%,northbound,merpeople,5/1401
11666,52%,northbound,merpeople,5/1401
11667,59%,southbound,merpeople,5/1401
11668,100%+,southbound,unknown,5/1401
11669,77%,northbound,water elemental,5/1401
11670,100%+,southbound,unknown,5/1401
11671,14%,southbound,pirates,5/1401
11672,37%,northbound,pirates,5/1401
11673,19%,northbound,sharks,5/1401
11674,50%,northbound,kraken,5/1401
11675,15%,northbound,sharks,5/1401
11676,100%+,southbound,unknown,5/1401
11677,100%+,southbound,unknown,5/1401
11678,37%,northbound,sharks,5/1401
11679,16%,northbound,pirates,5/1401
11680,35%,southbound,merpeople,5/1401
11681,46%,southbound,kraken,5/1401
11682,12%,northbound,sharks,5/1401
11683,26%,southbound,sharks,5/1401
11684,34%,southbound,sharks,5/1401
11685,38%,northbound,sharks,5/1401
11686,87%,southbound,nessie,5/1401
11687,24%,northbound,pirates,5/1401
11688,54%,southbound,merpeople,5/1401
11689,56%,southbound,merpeople,5/1401
11690,66%,southbound,merpeople,5/1401
11691,79%,southbound,water elemental,5/1401
11692,61%,northbound,kraken,5/1401
11693,12%,northbound,harpy,5/1401
11694,19%,southbound,sharks,5/1401
11695,100%+,northbound,unknown,5/1401
11696,44%,northbound,kraken,5/1401
11697,100%+,southbound,unknown,5/1401
11698,100%+,northbound,unknown,5/1401
11699,38%,southbound,sharks,5/1401
11700,22%,northbound,pirates,5/1401
11701,100%+,northbound,unknown,5/1401
11702,31%,northbound,pirates,5/1401
11703,43%,southbound,merpeople,5/1401
11704,21%,northbound,harpy,5/1401
11705,18%,southbound,sharks,5/1401
11706,17%,northbound,pirates,5/1401
11707,20%,northbound,pirates,5/1401
11708,100%+,southbound,unknown,5/1401
11709,82%,northbound,water elemental,5/1401
11710,19%,northbound,sharks,5/1401
11711,15%,northbound,pirates,5/1401
11712,82%,northbound,water elemental,5/1401
11713,100%+,southbound,unknown,5/1401
11714,28%,southbound,pirates,5/1401
11715,54%,southbound,merpeople,5/1401
11716,43%,southbound,merpeople,5/1401
11717,55%,northbound,kraken,5/1401
11718,29%,southbound,sharks,5/1401
11719,14%,southbound,pirates,5/1401
11720,4%,northbound,harpy,5/1401
11721,46%,northbound,merpeople,5/1401
11722,76%,southbound,water elemental,5/1401
11723,17%,northbound,pirates,5/1401
11724,45%,southbound,crabmonsters,5/1401
11725,57%,southbound,kraken,5/1401
11726,50%,northbound,kraken,5/1401
11727,81%,northbound,water elemental,5/1401
11728,46%,northbound,merpeople,5/1401
11729,10%,northbound,crabmonsters,5/1401
11730,27%,southbound,sharks,5/1401
11731,42%,southbound,pirates,5/1401
11732,49%,southbound,kraken,5/1401
11733,78%,northbound,merpeople,5/1401
11734,77%,northbound,water elemental,5/1401
11735,12%,northbound,harpy,5/1401
11736,78%,northbound,water elemental,5/1401
11737,99%,northbound,demon whale,5/1401
11738,92%,northbound,demon whale,5/1401
11739,15%,southbound,sharks,5/1401
11740,41%,southbound,crabmonsters,5/1401
11741,15%,southbound,pirates,5/1401
11742,50%,northbound,merpeople,5/1401
11743,2%,northbound,crabmonsters,5/1401
11744,100%+,southbound,unknown,5/1401
11745,41%,northbound,sharks,5/1401
11746,18%,southbound,harpy,5/1401
11747,25%,northbound,sharks,5/1401
11748,9%,northbound,sharks,5/1401
11749,27%,northbound,pirates,5/1401
11750,96%,southbound,demon whale,5/1401
11751,54%,southbound,kraken,5/1401
11752,44%,southbound,pirates,5/1401
11753,26%,northbound,sharks,5/1401
11754,79%,northbound,crabmonsters,5/1401
11755,53%,northbound,kraken,5/1401
11756,12%,northbound,pirates,5/1401
11757,51%,northbound,merpeople,5/1401
11758,67%,northbound,merpeople,5/1401
11759,21%,southbound,pirates,5/1401
11760,30%,northbound,merpeople,5/1401
11761,68%,northbound,merpeople,5/1401
11762,97%,southbound,demon whale,5/1401
11763,45%,southbound,kraken,5/1401
11764,100%+,southbound,unknown,5/1401
11765,10%,southbound,harpy,5/1401
11766,74%,northbound,water elemental,5/1401
11767,11%,southbound,harpy,5/1401
11768,16%,southbound,sharks,5/1401
11769,87%,southbound,nessie,5/1401
11770,41%,northbound,sharks,5/1401
11771,100%+,southbound,unknown,5/1401
11772,76%,southbound,water elemental,5/1401
11773,56%,northbound,merpeople,5/1401
11774,18%,southbound,crabmonsters,5/1401
11775,75%,northbound,merpeople,5/1401
11776,35%,southbound,pirates,5/1401
11777,19%,southbound,pirates,5/1401
11778,12%,southbound,pirates,5/1401
11779,19%,northbound,pirates,5/1401
11780,52%,northbound,merpeople,5/1401
11781,54%,northbound,merpeople,5/1401
11782,20%,northbound,pirates,5/1401
11783,13%,southbound,pirates,6/1401
11784,27%,southbound,sharks,6/1401
11785,8%,southbound,pirates,6/1401
11786,12%,northbound,pirates,6/1401
11787,93%,southbound,nessie,6/1401
11788,31%,northbound,sharks,6/1401
11789,51%,northbound,kraken,6/1401
11790,80%,southbound,water elemental,6/1401
11791,16%,northbound,harpy,6/1401
11792,55%,southbound,kraken,6/1401
11793,18%,southbound,pirates,6/1401
11794,23%,southbound,crabmonsters,6/1401
11795,19%,southbound,pirates,6/1401
11796,36%,northbound,sharks,6/1401
11797,22%,southbound,sharks,6/1401
11798,27%,southbound,sharks,6/1401
11799,14%,northbound,pirates,6/1401
11800,67%,northbound,merpeople,6/1401
11801,25%,northbound,crabmonsters,6/1401
11802,90%,southbound,nessie,6/1401
11803,13%,northbound,pirates,6/1401
11804,5%,southbound,harpy,6/1401
11805,84%,northbound,nessie,6/1401
11806,20%,northbound,pirates,6/1401
11807,29%,northbound,sharks,6/1401
11808,46%,southbound,merpeople,6/1401
11809,18%,southbound,pirates,6/1401
11810,77%,southbound,merpeople,6/1401
11811,24%,southbound,pirates,6/1401
11812,48%,southbound,merpeople,6/1401
11813,51%,southbound,kraken,6/1401
11814,11%,northbound,harpy,6/1401
11815,100%+,southbound,unknown,6/1401
11816,71%,southbound,kraken,6/1401
11817,38%,northbound,merpeople,6/1401
11818,78%,northbound,merpeople,6/1401
11819,29%,southbound,sharks,6/1401
11820,79%,southbound,water elemental,6/1401
11821,91%,southbound,crabmonsters,6/1401
11822,10%,northbound,sharks,6/1401
11823,99%,southbound,merpeople,6/1401
11824,21%,northbound,sharks,6/1401
11825,100%+,southbound,unknown,6/1401
11826,10%,northbound,harpy,6/1401
11827,33%,northbound,kraken,6/1401
11828,90%,northbound,merpeople,6/1401
11829,50%,southbound,kraken,6/1401
11830,74%,northbound,water elemental,6/1401
11831,24%,southbound,sharks,6/1401
11832,1%,northbound,crabmonsters,6/1401
11833,18%,northbound,pirates,6/1401
11834,54%,southbound,merpeople,6/1401
11835,100%+,northbound,unknown,6/1401
11836,52%,southbound,kraken,6/1401
11837,93%,southbound,demon whale,6/1401
11838,100%+,southbound,unknown,6/1401
11839,85%,southbound,water elemental,6/1401
11840,100%+,southbound,unknown,6/1401
11841,52%,northbound,kraken,6/1401
11842,26%,northbound,sharks,6/1401
11843,100%+,northbound,unknown,6/1401
11844,80%,northbound,water elemental,6/1401
11845,22%,northbound,sharks,6/1401
11846,100%+,southbound,unknown,6/1401
11847,28%,northbound,crabmonsters,6/1401
11848,74%,southbound,water elemental,6/1401
11849,54%,northbound,merpeople,6/1401
11850,18%,southbound,pirates,6/1401
11851,76%,southbound,water elemental,6/1401
11852,83%,northbound,nessie,6/1401
11853,51%,southbound,merpeople,6/1401
11854,14%,southbound,crabmonsters,6/1401
11855,38%,southbound,sharks,6/1401
11856,49%,southbound,merpeople,6/1401
11857,16%,southbound,pirates,6/1401
11858,2%,northbound,crabmonsters,6/1401
11859,83%,southbound,crabmonsters,6/1401
11860,13%,northbound,merpeople,6/1401
11861,30%,northbound,pirates,6/1401
11862,78%,southbound,water elemental,6/1401
11863,75%,northbound,nessie,6/1401
11864,72%,northbound,crabmonsters,6/1401
11865,16%,southbound,sharks,6/1401
11866,47%,northbound,merpeople,6/1401
11867,57%,southbound,merpeople,6/1401
11868,17%,northbound,sharks,6/1401
11869,100%+,northbound,unknown,6/1401
11870,100%+,southbound,unknown,6/1401
11871,100%+,southbound,unknown,6/1401
11872,66%,northbound,crabmonsters,6/1401
11873,17%,northbound,pirates,6/1401
11874,74%,northbound,water elemental,6/1401
11875,23%,northbound,harpy,6/1401
11876,20%,northbound,sharks,6/1401
11877,12%,northbound,harpy,6/1401
11878,51%,northbound,pirates,6/1401
11879,21%,northbound,pirates,6/1401
11880,52%,northbound,merpeople,6/1401
11881,21%,northbound,pirates,6/1401
11882,42%,southbound,merpeople,6/1401
11883,61%,northbound,kraken,6/1401
11884,16%,southbound,sharks,6/1401
11885,74%,northbound,water elemental,6/1401
11886,17%,northbound,pirates,6/1401
11887,48%,northbound,kraken,6/1401
11888,51%,northbound,kraken,6/1401
11889,20%,northbound,pirates,6/1401
11890,44%,northbound,pirates,6/1401
11891,19%,northbound,harpy,6/1401
11892,100%+,northbound,unknown,6/1401
11893,90%,northbound,nessie,6/1401
11894,19%,southbound,harpy,6/1401
11895,30%,southbound,pirates,6/1401
11896,77%,northbound,water elemental,6/1401
11897,33%,southbound,sharks,6/1401
11898,43%,northbound,kraken,6/1401
11899,3%,northbound,crabmonsters,6/1401
11900,100%+,southbound,unknown,6/1401
11901,21%,northbound,pirates,6/1401
11902,92%,southbound,nessie,6/1401
11903,9%,northbound,crabmonsters,6/1401
11904,100%+,southbound,unknown,6/1401
11905,74%,northbound,merpeople,6/1401
11906,100%+,southbound,unknown,6/1401
11907,38%,northbound,merpeople,6/1401
11908,18%,southbound,merpeople,6/1401
11909,56%,northbound,crabmonsters,6/1401
11910,83%,southbound,water elemental,6/1401
11911,85%,southbound,water elemental,6/1401
11912,41%,southbound,pirates,6/1401
11913,52%,northbound,merpeople,6/1401
11914,13%,southbound,harpy,6/1401
11915,100%+,southbound,unknown,6/1401
11916,10%,northbound,harpy,6/1401
11917,77%,northbound,merpeople,6/1401
11918,100%+,southbound,unknown,6/1401
11919,18%,northbound,pirates,6/1401
11920,82%,southbound,water elemental,6/1401
11921,80%,southbound,water elemental,6/1401
11922,14%,southbound,sharks,6/1401
11923,92%,southbound,merpeople,6/1401
11924,33%,northbound,merpeople,6/1401
11925,12%,southbound,harpy,6/1401
11926,78%,northbound,nessie,6/1401
11927,49%,northbound,merpeople,6/1401
11928,15%,southbound,harpy,6/1401
11929,75%,northbound,nessie,6/1401
11930,65%,southbound,kraken,6/1401
11931,23%,northbound,sharks,6/1401
11932,28%,southbound,sharks,6/1401
11933,41%,southbound,pirates,6/1401
11934,39%,southbound,merpeople,6/1401
11935,37%,northbound,pirates,6/1401
11936,74%,northbound,nessie,6/1401
11937,20%,northbound,harpy,6/1401
11938,77%,southbound,water elemental,6/1401
11939,52%,southbound,merpeople,6/1401
11940,12%,northbound,sharks,6/1401
11941,17%,northbound,harpy,6/1401
11942,46%,southbound,merpeople,6/1401
11943,10%,northbound,harpy,6/1401
11944,46%,southbound,pirates,6/1401
11945,7%,southbound,harpy,6/1401
11946,16%,northbound,sharks,6/1401
11947,12%,northbound,pirates,6/1401
11948,20%,southbound,merpeople,6/1401
11949,66%,northbound,kraken,6/1401
11950,100%+,southbound,unknown,6/1401
11951,55%,northbound,merpeople,6/1401
11952,33%,southbound,sharks,6/1401
11953,73%,southbound,crabmonsters,6/1401
11954,32%,northbound,pirates,6/1401
11955,20%,northbound,sharks,6/1401
11956,100%+,northbound,unknown,6/1401
11957,63%,southbound,kraken,6/1401
11958,23%,southbound,sharks,6/1401
11959,39%,northbound,sharks,6/1401
11960,42%,northbound,crabmonsters,6/1401
11961,8%,southbound,sharks,6/1401
11962,58%,southbound,merpeople,6/1401
11963,32%,northbound,sharks,6/1401
11964,39%,southbound,sharks,6/1401
11965,83%,northbound,water elemental,6/1401
11966,8%,northbound,harpy,6/1401
11967,24%,northbound,pirates,7/1401
11968,37%,northbound,sharks,7/1401
11969,9%,northbound,crabmonsters,7/1401
11970,71%,northbound,crabmonsters,7/1401
11971,36%,northbound,pirates,7/1401
11972,33%,northbound,sharks,7/1401
11973,24%,southbound,pirates,7/1401
11974,47%,southbound,sharks,7/1401
11975,19%,southbound,harpy,7/1401
11976,13%,northbound,pirates,7/1401
11977,45%,southbound,kraken,7/1401
11978,30%,northbound,merpeople,7/1401
11979,23%,southbound,crabmonsters,7/1401
11980,57%,southbound,kraken,7/1401
11981,48%,southbound,merpeople,7/1401
11982,100%+,northbound,unknown,7/1401
11983,72%,southbound,nessie,7/1401
11984,21%,southbound,pirates,7/1401
11985,42%,southbound,crabmonsters,7/1401
11986,100%+,southbound,unknown,7/1401
11987,75%,northbound,nessie,7/1401
11988,76%,northbound,water elemental,7/1401
11989,57%,northbound,merpeople,7/1401
11990,19%,southbound,merpeople,7/1401
11991,41%,northbound,pirates,7/1401
11992,43%,northbound,kraken,7/1401
11993,20%,southbound,sharks,7/1401
11994,10%,southbound,harpy,7/1401
11995,100%+,southbound,unknown,7/1401
11996,77%,northbound,nessie,7/1401
11997,79%,northbound,water elemental,7/1401
11998,19%,southbound,harpy,7/1401
11999,5%,southbound,crabmonsters,7/1401
12000,23%,northbound,pirates,7/1401
12001,100%+,northbound,unknown,7/1401
12002,50%,northbound,merpeople,7/1401
12003,100%+,northbound,unknown,7/1401
12004,27%,southbound,sharks,7/1401
12005,48%,northbound,pirates,7/1401
12006,11%,southbound,harpy,7/1401
12007,58%,northbound,kraken,7/1401
12008,19%,southbound,pirates,7/1401
12009,36%,northbound,merpeople,7/1401
12010,100%+,southbound,unknown,7/1401
12011,41%,southbound,sharks,7/1401
12012,27%,southbound,pirates,7/1401
12013,54%,northbound,kraken,7/1401
12014,7%,northbound,harpy,7/1401
12015,36%,southbound,pirates,7/1401
12016,46%,southbound,kraken,7/1401
12017,44%,northbound,pirates,7/1401
12018,54%,southbound,merpeople,7/1401
12019,29%,northbound,sharks,7/1401
12020,21%,northbound,sharks,7/1401
12021,12%,southbound,sharks,7/1401
12022,23%,southbound,harpy,7/1401
12023,96%,southbound,nessie,7/1401
12024,48%,northbound,kraken,7/1401
12025,7%,southbound,harpy,7/1401
12026,19%,southbound,pirates,7/1401
12027,100%+,northbound,unknown,7/1401
12028,31%,southbound,sharks,7/1401
12029,45%,southbound,merpeople,7/1401
12030,20%,southbound,harpy,7/1401
12031,20%,northbound,crabmonsters,7/1401
12032,22%,southbound,pirates,7/1401
12033,16%,southbound,harpy,7/1401
12034,56%,southbound,kraken,7/1401
12035,29%,southbound,pirates,7/1401
12036,37%,southbound,sharks,7/1401
12037,21%,northbound,pirates,7/1401
12038,100%+,southbound,unknown,7/1401
12039,26%,northbound,crabmonsters,7/1401
12040,75%,southbound,water elemental,7/1401
12041,74%,northbound,water elemental,7/1401
12042,100%+,northbound,unknown,7/1401
12043,26%,southbound,merpeople,7/1401
12044,13%,southbound,sharks,7/1401
12045,58%,southbound,merpeople,7/1401
12046,15%,northbound,crabmonsters,7/1401
12047,11%,northbound,crabmonsters,7/1401
12048,14%,northbound,merpeople,7/1401
12049,79%,northbound,water elemental,7/1401
12050,23%,northbound,sharks,7/1401
12051,6%,southbound,harpy,7/1401
12052,6%,northbound,harpy,7/1401
12053,68%,northbound,kraken,7/1401
12054,20%,northbound,pirates,7/1401
12055,76%,southbound,water elemental,7/1401
12056,17%,northbound,pirates,7/1401
12057,17%,southbound,sharks,7/1401
12058,35%,northbound,sharks,7/1401
12059,97%,southbound,demon whale,7/1401
12060,13%,southbound,pirates,7/1401
12061,61%,northbound,merpeople,7/1401
12062,20%,southbound,sharks,7/1401
12063,81%,southbound,water elemental,7/1401
12064,47%,southbound,pirates,7/1401
12065,37%,southbound,crabmonsters,7/1401
12066,17%,northbound,pirates,7/1401
12067,21%,northbound,pirates,7/1401
12068,30%,southbound,sharks,7/1401
12069,23%,northbound,sharks,7/1401
12070,21%,northbound,sharks,7/1401
12071,25%,northbound,sharks,7/1401
12072,81%,southbound,water elemental,7/1401
12073,58%,southbound,merpeople,7/1401
12074,11%,northbound,pirates,7/1401
12075,100%+,northbound,unknown,7/1401
12076,47%,northbound,merpeople,7/1401
12077,61%,southbound,merpeople,7/1401
12078,19%,northbound,pirates,7/1401
12079,21%,northbound,pirates,7/1401
12080,6%,southbound,crabmonsters,7/1401
12081,44%,southbound,pirates,7/1401
12082,52%,southbound,merpeople,7/1401
12083,17%,southbound,sharks,7/1401
12084,27%,southbound,sharks,7/1401
12085,60%,northbound,kraken,7/1401
12086,48%,southbound,kraken,7/1401
12087,32%,southbound,sharks,7/1401
12088,2%,northbound,crabmonsters,7/1401
12089,68%,northbound,merpeople,7/1401
12090,22%,northbound,sharks,7/1401
12091,59%,northbound,kraken,7/1401
12092,29%,southbound,merpeople,7/1401
12093,49%,northbound,crabmonsters,7/1401
12094,1%,northbound,crabmonsters,7/1401
12095,12%,southbound,pirates,7/1401
12096,54%,northbound,pirates,7/1401
12097,100%+,northbound,unknown,7/1401
12098,8%,northbound,pirates,7/1401
12099,23%,northbound,sharks,7/1401
12100,30%,northbound,sharks,7/1401
12101,49%,northbound,pirates,7/1401
12102,14%,northbound,crabmonsters,7/1401
12103,75%,northbound,water elemental,7/1401
12104,76%,northbound,water elemental,7/1401
12105,33%,northbound,sharks,7/1401
12106,74%,northbound,water elemental,7/1401
12107,14%,southbound,harpy,7/1401
12108,24%,southbound,sharks,7/1401
12109,78%,northbound,water elemental,7/1401
12110,100%+,northbound,unknown,7/1401
12111,34%,northbound,merpeople,7/1401
12112,23%,northbound,sharks,7/1401
12113,44%,northbound,kraken,7/1401
12114,27%,northbound,sharks,7/1401
12115,74%,southbound,water elemental,7/1401
12116,24%,northbound,sharks,7/1401
12117,47%,southbound,kraken,7/1401
12118,83%,southbound,demon whale,7/1401
12119,34%,northbound,sharks,7/1401
12120,43%,southbound,pirates,7/1401
12121,38%,southbound,pirates,7/1401
12122,85%,northbound,water elemental,7/1401
12123,22%,northbound,sharks,7/1401
12124,46%,northbound,kraken,7/1401
12125,57%,northbound,merpeople,7/1401
12126,18%,northbound,harpy,7/1401
12127,62%,northbound,merpeople,7/1401
12128,54%,northbound,kraken,7/1401
12129,39%,northbound,pirates,7/1401
12130,13%,southbound,pirates,7/1401
12131,13%,southbound,pirates,7/1401
12132,65%,northbound,kraken,7/1401
12133,100%+,northbound,unknown,7/1401
12134,100%+,southbound,unknown,7/1401
12135,100%+,northbound,unknown,7/1401
12136,21%,southbound,pirates,7/1401
12137,83%,northbound,water elemental,7/1401
12138,58%,northbound,merpeople,7/1401
12139,22%,southbound,sharks,7/1401
12140,83%,southbound,water elemental,7/1401
12141,21%,northbound,sharks,7/1401
12142,25%,southbound,sharks,7/1401
12143,42%,northbound,merpeople,7/1401
12144,15%,northbound,harpy,7/1401
12145,66%,northbound,kraken,7/1401
12146,50%,northbound,pirates,7/1401
12147,23%,southbound,pirates,7/1401
12148,81%,northbound,water elemental,8/1401
12149,52%,northbound,kraken,8/1401
12150,23%,southbound,sharks,8/1401
12151,17%,southbound,pirates,8/1401
12152,50%,northbound,kraken,8/1401
12153,34%,northbound,merpeople,8/1401
12154,24%,northbound,pirates,8/1401
12155,72%,southbound,kraken,8/1401
12156,42%,northbound,pirates,8/1401
12157,11%,northbound,pirates,8/1401
12158,74%,northbound,water elemental,8/1401
12159,48%,southbound,sharks,8/1401
12160,36%,northbound,sharks,8/1401
12161,56%,southbound,kraken,8/1401
12162,34%,northbound,pirates,8/1401
12163,53%,northbound,kraken,8/1401
12164,21%,southbound,sharks,8/1401
12165,100%+,northbound,unknown,8/1401
12166,19%,southbound,harpy,8/1401
12167,62%,southbound,merpeople,8/1401
12168,50%,northbound,kraken,8/1401
12169,25%,southbound,merpeople,8/1401
12170,84%,northbound,water elemental,8/1401
12171,16%,northbound,pirates,8/1401
12172,43%,southbound,kraken,8/1401
12173,78%,northbound,water elemental,8/1401
12174,24%,southbound,sharks,8/1401
12175,69%,southbound,merpeople,8/1401
12176,56%,southbound,kraken,8/1401
12177,50%,southbound,kraken,8/1401
12178,29%,southbound,sharks,8/1401
12179,78%,southbound,water elemental,8/1401
12180,82%,southbound,demon whale,8/1401
12181,29%,southbound,sharks,8/1401
12182,21%,southbound,sharks,8/1401
12183,100%+,southbound,unknown,8/1401
12184,37%,northbound,pirates,8/1401
12185,56%,southbound,kraken,8/1401
12186,36%,northbound,sharks,8/1401
12187,100%+,northbound,unknown,8/1401
12188,100%+,southbound,unknown,8/1401
12189,85%,northbound,nessie,8/1401
12190,100%+,southbound,unknown,8/1401
12191,19%,southbound,pirates,8/1401
12192,93%,southbound,nessie,8/1401
12193,53%,southbound,kraken,8/1401
12194,97%,northbound,nessie,8/1401
12195,24%,southbound,merpeople,8/1401
12196,6%,northbound,pirates,8/1401
12197,100%+,southbound,unknown,8/1401
12198,25%,northbound,crabmonsters,8/1401
12199,98%,northbound,demon whale,8/1401
12200,22%,northbound,pirates,8/1401
12201,100%+,southbound,unknown,8/1401
12202,24%,southbound,sharks,8/1401
12203,89%,northbound,crabmonsters,8/1401
12204,15%,southbound,pirates,8/1401
12205,84%,northbound,nessie,8/1401
12206,45%,southbound,merpeople,8/1401
12207,69%,northbound,merpeople,8/1401
12208,100%+,northbound,unknown,8/1401
12209,21%,northbound,pirates,8/1401
12210,15%,northbound,sharks,8/1401
12211,11%,northbound,harpy,8/1401
12212,41%,northbound,kraken,8/1401
12213,16%,northbound,harpy,8/1401
12214,43%,southbound,pirates,8/1401
12215,49%,northbound,kraken,8/1401
12216,46%,northbound,merpeople,8/1401
12217,11%,southbound,merpeople,8/1401
12218,15%,southbound,harpy,8/1401
12219,12%,northbound,sharks,8/1401
12220,15%,southbound,sharks,8/1401
12221,22%,southbound,crabmonsters,8/1401
12222,38%,northbound,crabmonsters,8/1401
12223,53%,southbound,merpeople,8/1401
12224,35%,northbound,crabmonsters,8/1401
12225,53%,southbound,pirates,8/1401
12226,77%,southbound,water elemental,8/1401
12227,80%,southbound,nessie,8/1401
12228,51%,northbound,kraken,8/1401
12229,19%,southbound,pirates,8/1401
12230,92%,southbound,nessie,8/1401
12231,89%,southbound,nessie,8/1401
12232,24%,northbound,crabmonsters,8/1401
12233,51%,northbound,kraken,8/1401
12234,77%,southbound,merpeople,8/1401
12235,48%,northbound,kraken,8/1401
12236,92%,northbound,nessie,8/1401
12237,81%,northbound,water elemental,8/1401
12238,22%,northbound,pirates,8/1401
12239,13%,southbound,sharks,8/1401
12240,57%,northbound,crabmonsters,8/1401
12241,10%,northbound,pirates,8/1401
12242,11%,northbound,harpy,8/1401
12243,77%,southbound,water elemental,8/1401
12244,16%,northbound,merpeople,8/1401
12245,18%,northbound,sharks,8/1401
12246,63%,northbound,kraken,8/1401
12247,54%,northbound,kraken,8/1401
12248,48%,northbound,pirates,8/1401
12249,100%+,southbound,unknown,8/1401
12250,21%,northbound,pirates,8/1401
12251,18%,northbound,harpy,8/1401
12252,22%,northbound,pirates,8/1401
12253,32%,northbound,sharks,8/1401
12254,55%,southbound,kraken,8/1401
12255,64%,southbound,kraken,8/1401
12256,12%,southbound,sharks,8/1401
12257,20%,southbound,pirates,8/1401
12258,12%,southbound,sharks,8/1401
12259,18%,southbound,pirates,8/1401
12260,38%,southbound,pirates,8/1401
12261,97%,southbound,nessie,8/1401
12262,9%,northbound,harpy,8/1401
12263,13%,southbound,pirates,8/1401
12264,84%,northbound,nessie,8/1401
12265,83%,southbound,water elemental,8/1401
12266,37%,northbound,sharks,8/1401
12267,81%,northbound,demon whale,8/1401
12268,55%,southbound,merpeople,8/1401
12269,31%,northbound,sharks,8/1401
12270,86%,northbound,nessie,8/1401
12271,27%,southbound,merpeople,8/1401
12272,39%,southbound,pirates,8/1401
12273,31%,northbound,crabmonsters,8/1401
12274,8%,southbound,sharks,8/1401
12275,100%+,northbound,unknown,8/1401
12276,15%,southbound,pirates,8/1401
12277,20%,northbound,pirates,8/1401
12278,20%,southbound,merpeople,8/1401
12279,100%+,northbound,unknown,8/1401
12280,100%+,northbound,unknown,8/1401
12281,22%,southbound,pirates,8/1401
12282,63%,northbound,kraken,8/1401
12283,100%+,northbound,unknown,8/1401
12284,84%,northbound,nessie,8/1401
12285,94%,northbound,nessie,8/1401
12286,100%+,northbound,unknown,8/1401
12287,51%,southbound,kraken,8/1401
12288,95%,northbound,nessie,8/1401
12289,10%,northbound,pirates,8/1401
12290,9%,northbound,sharks,8/1401
12291,56%,southbound,kraken,8/1401
12292,55%,southbound,kraken,8/1401
12293,62%,northbound,kraken,8/1401
12294,62%,northbound,merpeople,8/1401
12295,100%+,northbound,unknown,8/1401
12296,22%,northbound,sharks,8/1401
12297,21%,northbound,harpy,8/1401
12298,100%+,northbound,unknown,8/1401
12299,23%,southbound,merpeople,8/1401
12300,30%,northbound,sharks,8/1401
12301,6%,southbound,crabmonsters,8/1401
12302,82%,southbound,water elemental,8/1401
12303,100%+,southbound,unknown,8/1401
12304,10%,southbound,merpeople,8/1401
12305,100%+,southbound,unknown,8/1401
12306,8%,northbound,sharks,8/1401
12307,28%,southbound,merpeople,8/1401
12308,83%,southbound,water elemental,8/1401
12309,97%,northbound,demon whale,8/1401
12310,87%,southbound,nessie,8/1401
12311,24%,northbound,sharks,8/1401
12312,38%,northbound,merpeople,8/1401
12313,58%,southbound,crabmonsters,8/1401
12314,55%,southbound,kraken,8/1401
12315,38%,northbound,pirates,8/1401
12316,100%+,southbound,unknown,8/1401
12317,17%,northbound,pirates,8/1401
12318,45%,northbound,kraken,8/1401
12319,33%,southbound,sharks,8/1401
12320,41%,southbound,pirates,8/1401
12321,20%,northbound,pirates,8/1401
12322,80%,northbound,water elemental,8/1401
12323,78%,southbound,water elemental,8/1401
12324,6%,southbound,harpy,8/1401
12325,78%,northbound,water elemental,8/1401
